,Share Capital +,Reserves,Borrowings +,Other Liabilities +,Total Liabilities,Fixed Assets +,CWIP,Investments,Other Assets +,Total Assets,quarter(10yrs),ScripCode
0,2979,166467,92447,65298,327191,138814,25363,38596,124418,327191,Mar 2012,500325
1,2936,179119,107219,73083,362357,133487,49952,42848,136070,362357,Mar 2013,500325
2,2940,195747,138761,91395,428843,141417,91494,60602,135330,428843,Mar 2014,500325
3,2943,215556,168251,117736,504486,156458,166462,76451,105115,504486,Mar 2015,500325
4,2948,228608,194714,172727,598997,184910,228697,84015,101375,598997,Mar 2016,500325
5,2959,260750,217475,225618,706802,198526,324837,82899,100540,706802,Mar 2017,500325
6,5922,287584,239843,277924,811273,403885,187022,82862,137504,811273,Mar 2018,500325
7,5926,381186,307714,302804,997630,398374,179463,235635,184158,997630,Mar 2019,500325
8,6339,442827,355133,358716,1163015,532658,109106,276767,244484,1163015,Mar 2020,500325
9,6445,693727,278962,340931,1320065,541258,125953,364828,288026,1320065,Mar 2021,500325
10,6765,772720,319158,399979,1498622,627798,172506,394264,304054,1498622,Mar 2022,500325
11,6766,814387,335134,557219,1713506,899786,117259,336633,359828,1713506,Mar 2023,500325
12,296,29284,127,11551,41157,8662,1446,1350,29698,41157,Mar 2012,532540
13,296,38350,232,13154,51932,9828,1895,1897,38312,51932,Mar 2013,532540
14,196,48999,297,17337,66829,9544,3168,3434,50682,66829,Mar 2014,532540
15,196,50439,358,22325,73318,11638,2766,1662,57252,73318,Mar 2015,532540
16,197,70875,245,16974,88291,11774,1670,22822,52025,88291,Mar 2016,532540
17,197,86017,289,15830,102333,11701,1541,41980,47111,102333,Mar 2017,532540
18,191,84937,247,19751,105126,11973,1278,36008,55867,105126,Mar 2018,532540
19,375,89071,62,24393,113901,12290,963,29330,71318,113901,Mar 2019,532540
20,375,83751,8174,27820,120120,20928,906,26356,71930,120120,Mar 2020,532540
21,370,86063,7795,35764,129992,21021,926,29373,78672,129992,Mar 2021,532540
22,366,88773,7818,43967,140924,21298,1205,30485,87936,140924,Mar 2022,532540
23,366,90058,7688,44747,142859,20515,1234,37163,83947,142859,Mar 2023,532540
24,469,29741,272874,37971,341055,2378,0,96795,241882,341055,Mar 2012,500180
25,476,36167,335588,35492,407723,2773,0,110960,293989,407723,Mar 2013,500180
26,480,43687,416677,42776,503620,3026,0,119571,381023,503620,Mar 2014,500180
27,501,62653,509762,34181,607097,3225,0,149454,454417,607097,Mar 2015,500180
28,506,73798,649587,38321,762212,3667,0,193634,564912,762212,Mar 2016,500180
29,513,91281,741550,59000,892344,4000,0,210777,677567,892344,Mar 2017,500180
30,519,109080,944817,48770,1103186,4008,0,238461,860717,1103186,Mar 2018,500180
31,545,153128,1080235,58898,1292806,4369,0,289446,998991,1292806,Mar 2019,500180
32,548,175810,1333041,71430,1580830,4776,0,389305,1186750,1580830,Mar 2020,500180
33,551,209259,1511418,78279,1799507,5248,0,438823,1355435,1799507,Mar 2021,500180
34,555,246772,1784970,90639,2122934,6432,0,449264,1667238,2122934,Mar 2022,500180
35,,,,,,,,,,,Mar 2023,500180
36,1153,60124,443247,114763,619287,5432,0,239864,373991,619287,Mar 2012,532174
37,1154,67609,487659,118401,674822,5473,0,255667,413682,674822,Mar 2013,532174
38,1155,75275,543055,128278,747762,5507,0,267609,474646,747762,Mar 2014,532174
39,1160,83545,597207,144167,826079,5871,0,274311,545897,826079,Mar 2015,532174
40,1163,92948,671455,153190,918756,8713,0,286044,623999,918756,Mar 2016,532174
41,1165,103467,700874,180219,985725,9338,0,304373,672013,985725,Mar 2017,532174
42,1286,109344,815198,198453,1124281,9465,0,372208,742608,1124281,Mar 2018,532174
43,1289,112964,891641,232899,1238794,9660,0,398201,830933,1238794,Mar 2019,532174
44,1295,121665,1014636,239696,1377292,10409,0,443473,923411,1377292,Mar 2020,532174
45,1383,156204,1103840,312385,1573812,10917,0,536579,1026317,1573812,Mar 2021,532174
46,1390,180663,1252968,317616,1752637,10707,0,567098,1174833,1752637,Mar 2022,532174
47,,,,,,,,,,,Mar 2023,532174
48,216,3465,0,7726,11407,2263,228,2322,6595,11407,Mar 2012,500696
49,216,2649,25,9202,12092,2431,222,2252,7186,12092,Mar 2013,500696
50,216,3321,46,10171,13754,2746,373,2838,7797,13754,Mar 2014,500696
51,216,3811,43,10359,14430,2821,516,3025,8067,14430,Mar 2015,500696
52,216,6357,177,8043,14793,3258,408,2592,8535,14793,Mar 2016,500696
53,216,6528,277,8685,15706,4419,229,3794,7264,15706,Mar 2017,500696
54,216,7065,0,10581,17862,4528,461,2873,10000,17862,Mar 2018,500696
55,216,7651,99,10663,18629,4715,406,2716,10792,18629,Mar 2019,500696
56,216,8013,0,11924,20153,5479,597,1255,12822,20153,Mar 2020,500696
57,235,47439,1009,20057,68740,51443,745,2709,13843,68740,Mar 2021,500696
58,235,48826,1043,20402,70506,51473,1313,3521,14199,70506,Mar 2022,500696
59,235,50071,1219,21562,73087,52747,1132,2813,16395,73087,Mar 2023,500696
60,286,31046,0,7025,38357,5555,590,372,31840,38357,Mar 2012,500209
61,286,37708,0,8281,46275,7139,1140,2116,35880,46275,Mar 2013,500209
62,286,44244,0,12436,56966,8378,961,4331,43296,56966,Mar 2014,500209
63,572,50164,0,15553,66289,11346,776,2270,51897,66289,Mar 2015,500209
64,1144,60600,0,13354,75098,13386,960,1892,58860,75098,Mar 2016,500209
65,1144,67838,0,14166,83148,14179,1365,16423,51181,83148,Mar 2017,500209
66,1088,63835,0,14426,79349,12574,1606,12163,53006,79349,Mar 2018,500209
67,2170,62778,0,19118,84066,15710,1388,11261,55707,84066,Mar 2019,500209
68,2122,63328,4633,21717,91800,23789,954,8792,58265,91800,Mar 2020,500209
69,2124,74227,5325,25835,107511,25505,922,14205,66879,107511,Mar 2021,500209
70,2098,73252,5474,35905,116729,25800,416,20324,70189,116729,Mar 2022,500209
71,2069,73338,8299,40890,124596,29225,288,19478,75605,124596,Mar 2023,500209
