,Cash from Operating Activity +,Cash from Investing Activity +,Cash from Financing Activity +,Net Cash Flow,quarter(10yrs),ScripCode
0,24483,-6301,-7590,10592,Mar 2012,500325
1,36918,-27601,408,9725,Mar 2013,500325
2,43261,-73070,13713,-16096,Mar 2014,500325
3,34374,-64706,8444,-21888,Mar 2015,500325
4,38134,-36186,-3210,-1262,Mar 2016,500325
5,49550,-66201,8617,-8034,Mar 2017,500325
6,71459,-68192,-2001,1266,Mar 2018,500325
7,42346,-94507,55906,3745,Mar 2019,500325
8,94877,-72497,-2541,19839,Mar 2020,500325
9,26958,-142385,101904,-13523,Mar 2021,500325
10,110654,-109162,17289,18781,Mar 2022,500325
11,115032,-91235,10455,34252,Mar 2023,500325
12,7127,-2727,-3955,445,Mar 2012,532540
13,11615,-6038,-5729,-152,Mar 2013,532540
14,14751,-9452,-5673,-374,Mar 2014,532540
15,19369,-1807,-17168,394,Mar 2015,532540
16,19109,-5010,-9666,4433,Mar 2016,532540
17,25223,-16895,-11026,-2698,Mar 2017,532540
18,25067,3104,-26885,1286,Mar 2018,532540
19,28593,1645,-27897,2341,Mar 2019,532540
20,32369,8968,-39915,1422,Mar 2020,532540
21,38802,-7956,-32634,-1788,Mar 2021,532540
22,39949,-738,-33581,5630,Mar 2022,532540
23,41965,548,-47878,-5365,Mar 2023,532540
24,-19381,-662,11380,-8663,Mar 2012,500180
25,-5847,-902,13105,6356,Mar 2013,500180
26,4211,-1099,9270,12382,Mar 2014,500180
27,-21281,-800,18694,-3387,Mar 2015,500180
28,-34435,-837,37815,2542,Mar 2016,500180
29,17282,-1146,-5893,10242,Mar 2017,500180
30,17214,-842,57378,73750,Mar 2018,500180
31,-62872,-1503,23131,-41244,Mar 2019,500180
32,-16869,-1403,24394,6122,Mar 2020,500180
33,42476,-1823,-7321,33332,Mar 2021,500180
34,-11960,-2051,48124,34113,Mar 2022,500180
35,20814,-3424,23941,41330,Mar 2023,500180
36,-6405,-21263,29439,1771,Mar 2012,532174
37,17494,-18563,9283,8215,Mar 2013,532174
38,6765,-15750,7872,-1113,Mar 2014,532174
39,-12273,-13175,24827,-621,Mar 2015,532174
40,23645,-12060,5814,17399,Mar 2016,532174
41,52636,-1711,-35470,15455,Mar 2017,532174
42,19383,-50551,39676,8508,Mar 2018,532174
43,48671,-30282,-19997,-1608,Mar 2019,532174
44,79565,-42095,2992,40462,Mar 2020,532174
45,138015,-63631,-54667,19718,Mar 2021,532174
46,58111,-40007,17451,35555,Mar 2022,532174
47,-3771,-68005,24791,-46986,Mar 2023,532174
48,2932,-514,-1726,692,Mar 2012,500696
49,3605,63,-4147,-480,Mar 2013,500696
50,3818,-475,-2960,383,Mar 2014,500696
51,3292,138,-3462,-33,Mar 2015,500696
52,4171,-282,-3864,25,Mar 2016,500696
53,5185,-1173,-4214,-202,Mar 2017,500696
54,6059,-1063,-4975,21,Mar 2018,500696
55,5800,-438,-5390,-28,Mar 2019,500696
56,7623,1791,-6819,2595,Mar 2020,500696
57,9163,-1228,-9309,-1374,Mar 2021,500696
58,9048,-1728,-8015,-695,Mar 2022,500696
59,9991,-1494,-8953,-456,Mar 2023,500696
60,6394,-147,-2322,3925,Mar 2012,500209
61,7373,-2922,-3210,1241,Mar 2013,500209
62,9825,-2563,-3144,4118,Mar 2014,500209
63,8353,999,-4935,4417,Mar 2015,500209
64,10028,-885,-6813,2330,Mar 2016,500209
65,11531,-14664,-6939,-10072,Mar 2017,500209
66,13218,4533,-20505,-2754,Mar 2018,500209
67,14841,-632,-14512,-303,Mar 2019,500209
68,17003,-331,-17591,-919,Mar 2020,500209
69,23224,-7373,-9786,6065,Mar 2021,500209
70,23885,-6485,-24642,-7242,Mar 2022,500209
71,22467,-1071,-26695,-5299,Mar 2023,500209
72,6256,-2694,-3305,257,Mar 2012,500875
73,7102,-3881,-3310,-90,Mar 2013,500875
74,7344,-3254,-4122,-32,Mar 2014,500875
75,9843,-5275,-4661,-93,Mar 2015,500875
76,9799,-3921,-5613,266,Mar 2016,500875
77,10627,-3251,-7301,75,Mar 2017,500875
78,13169,-7114,-6221,-166,Mar 2018,500875
79,12583,-5546,-6869,169,Mar 2019,500875
80,14690,-6174,-8181,334,Mar 2020,500875
81,12527,5740,-18634,-367,Mar 2021,500875
82,15776,-2238,-13580,-43,Mar 2022,500875
83,18878,-5732,-13006,139,Mar 2023,500875
84,-30114,169,2209,-27737,Mar 2012,500112
85,24332,-2271,-4424,17637,Mar 2013,500112
86,19142,-791,3583,21934,Mar 2014,500112
87,26297,-3424,-1553,21320,Mar 2015,500112
88,14477,-2747,4348,16078,Mar 2016,500112
89,77406,-4572,-4196,68638,Mar 2017,500112
90,-96508,13053,5547,-77908,Mar 2018,500112
91,29556,220,448,30223,Mar 2019,500112
92,23929,-555,5430,28803,Mar 2020,500112
93,89919,-3670,7143,93392,Mar 2021,500112
94,57695,-2652,-3845,51198,Mar 2022,500112
95,-86014,-4041,6386,-83668,Mar 2023,500112
96,-17534,-6275,23194,-615,Mar 2012,500010
97,-11969,-10212,23174,992,Mar 2013,500010
98,-10735,-12983,25719,2000,Mar 2014,500010
99,-9118,-18552,24820,-2850,Mar 2015,500010
100,-19710,-9309,29111,92,Mar 2016,500010
101,-14173,-27236,43127,1718,Mar 2017,500010
102,-57928,-7954,63344,-2538,Mar 2018,500010
103,-44301,-10316,54986,369,Mar 2019,500010
104,-26801,-9874,38690,2015,Mar 2020,500010
105,-27276,-6958,31665,-2570,Mar 2021,500010
106,-44028,-19887,63541,-374,Mar 2022,500010
107,-47328,-21524,69321,469,Mar 2023,500010
108,22593,-18380,-4011,203,Mar 2012,532454
109,22608,-18676,-4566,-634,Mar 2013,532454
110,26233,-25181,2774,3826,Mar 2014,532454
111,28059,-22301,-9672,-3914,Mar 2015,532454
112,27942,-14091,-11946,1905,Mar 2016,532454
113,28280,-30680,-351,-2752,Mar 2017,532454
114,29854,-27940,1920,3835,Mar 2018,532454
115,20070,-28286,9464,1248,Mar 2019,532454
116,18129,-29598,19144,7675,Mar 2020,532454
117,48205,-27286,-24910,-3991,Mar 2021,532454
118,55017,-41478,-15203,-1664,Mar 2022,532454
119,65325,-39080,-24470,1775,Mar 2023,532454
120,-7064,-360,6867,-557,Mar 2015,500034
121,-9870,-687,11656,1100,Mar 2016,500034
122,-10439,-3047,12513,-972,Mar 2017,500034
123,-20566,1075,19503,13,Mar 2018,500034
124,-29062,-5379,34449,9,Mar 2019,500034
