,Sales +,Expenses +,Operating Profit,OPM %,Other Income +,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs,Raw PDF,quarter(10yrs),ScripCode,Revenue,Financing Profit,Financing Margin %,Gross NPA %,Net NPA %
0,136492,114487,22005,16%,-386,6064,6332,9223,29%,6546,9.39,,Mar 2020,500325,,,,,
1,88253,71378,16875,19%,9676,6735,6308,13508,2%,13248,20.87,,Jun 2020,500325,,,,,
2,111236,92291,18945,17%,4354,6084,6626,10589,-0%,10602,15.09,,Sep 2020,500325,,,,,
3,117860,96294,21566,18%,4407,4326,6665,14982,1%,14894,20.67,,Dec 2020,500325,,,,,
4,149575,126224,23351,16%,4048,4044,6973,16382,8%,14995,20.86,,Mar 2021,500325,,,,,
5,139949,116618,23331,17%,4219,3397,6883,17270,20%,13806,19.36,,Jun 2021,500325,,,,,
6,167611,141591,26020,16%,4263,3819,7230,19234,20%,15479,21.58,,Sep 2021,500325,,,,,
7,185027,155321,29706,16%,7016,3812,7683,25227,19%,20539,27.42,,Dec 2021,500325,,,,,
8,207375,176009,31366,15%,2602,3556,8001,22411,20%,18021,23.95,,Mar 2022,500325,,,,,
9,219304,181372,37932,17%,2247,3997,8946,27236,29%,19443,26.54,,Jun 2022,500325,,,,,
10,230055,198906,31149,14%,3514,4554,9730,20379,24%,15512,20.19,,Sep 2022,500325,,,,,
11,217164,181917,35247,16%,3213,5201,10187,23072,23%,17806,23.34,,Dec 2022,500325,,,,,
12,212945,174505,38440,18%,2949,5819,11456,24114,12%,21327,28.53,,Mar 2023,500325,,,,,
13,39946,28970,10976,27%,738,251,951,10512,23%,8093,21.45,,Mar 2020,532540,,,,,
14,38322,28298,10024,26%,598,142,976,9504,26%,7049,18.68,,Jun 2020,532540,,,,,
15,40135,28622,11513,29%,-304,174,998,10037,25%,7504,19.92,,Sep 2020,532540,,,,,
16,42015,29807,12208,29%,691,183,1024,11692,25%,8727,23.19,,Dec 2020,532540,,,,,
17,43705,30904,12801,29%,931,138,1067,12527,26%,9282,25.00,,Mar 2021,532540,,,,,
18,45411,32748,12663,28%,721,146,1075,12163,26%,9031,24.35,,Jun 2021,532540,,,,,
19,46867,33751,13116,28%,1111,142,1116,12969,26%,9653,26.02,,Sep 2021,532540,,,,,
20,48885,35452,13433,27%,1205,251,1196,13191,26%,9806,26.41,,Dec 2021,532540,,,,,
21,50591,36746,13845,27%,981,245,1217,13364,25%,9959,27.13,,Mar 2022,532540,,,,,
22,52758,39342,13416,25%,789,199,1230,12776,25%,9519,25.90,,Jun 2022,532540,,,,,
23,55309,40793,14516,26%,965,148,1237,14096,26%,10465,28.51,,Sep 2022,532540,,,,,
24,58229,42676,15553,27%,520,160,1269,14644,26%,10883,29.64,,Dec 2022,532540,,,,,
25,59162,43388,15774,27%,1175,272,1286,15391,26%,11436,31.13,,Mar 2023,532540,,,,,
26,,13077,,,6492,15529,0,9682,25%,7297,13.28,,Mar 2020,500180,31795,3190,10%,,
27,,11751,,,4347,15608,0,9340,26%,6941,12.62,,Jun 2020,500180,32352,4993,15%,,
28,,13028,,,6696,15033,0,10378,26%,7711,14.00,,Sep 2020,500180,31742,3682,12%,,
29,,13503,,,7987,14523,0,11813,26%,8760,15.92,,Dec 2020,500180,31852,3826,12%,,
30,,15561,,,8303,14083,0,11266,25%,8444,15.30,,Mar 2021,500180,32607,2963,9%,,
31,,14073,,,6680,14218,0,10642,25%,7940,14.33,,Jun 2021,500180,32254,3962,12%,,
32,,14698,,,7916,14415,0,12324,26%,9120,16.43,,Sep 2021,500180,33520,4408,13%,,
33,,14423,,,8777,14724,0,14218,25%,10616,19.11,,Dec 2021,500180,34588,5441,16%,,
34,,15044,,,8386,15227,0,13690,23%,10475,18.83,,Mar 2022,500180,35574,5304,15%,,
35,,15021,,,6929,16358,0,12823,25%,9617,17.25,,Jun 2022,500180,37274,5895,16%,,
36,,15915,,,8252,18311,0,14956,25%,11163,19.97,,Sep 2022,500180,40930,6704,16%,,
37,,16682,,,9121,20505,0,16936,25%,12735,22.77,,Dec 2022,500180,45002,7815,17%,,
38,,17770,,,9610,22606,0,16783,25%,12634,22.57,,Mar 2023,500180,47548,7172,15%,,
39,,27119,,,18381,11025,0,1977,18%,1613,1.93,,Mar 2020,532174,21741,-16403,-75%,2.02%,0.90%
40,,22005,,,15517,11347,0,4587,22%,3587,4.81,,Jun 2020,532174,22423,-10929,-49%,2.04%,0.75%
41,,21504,,,17095,10945,0,6873,21%,5426,7.08,,Sep 2020,532174,22226,-10222,-46%,,
42,,22484,,,18241,10412,0,7558,20%,6020,7.96,,Dec 2020,532174,22214,-10683,-48%,,
43,,26656,,,21322,9955,0,7010,24%,5331,7.07,,Mar 2021,532174,22300,-14311,-64%,,
44,,18842,,,12737,10068,0,6443,26%,4919,6.88,,Jun 2021,532174,22615,-6294,-28%,,
