,Sales +,Expenses +,Operating Profit,OPM %,Other Income +,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs,Dividend Payout %,quarter(10yrs),ScripCode,Revenue,Financing Profit,Financing Margin %
0,357677,324501,33176,9%,7526,2893,12401,25408,22%,19717,28.27,13%,Mar 2012,500325,,,
1,395957,362802,33155,8%,7757,3463,11232,26217,20%,20886,30.31,13%,Mar 2013,500325,,,
2,433521,398586,34935,8%,8865,3836,11201,28763,22%,22548,32.62,12%,Mar 2014,500325,,,
3,374372,336923,37449,10%,8528,3316,11547,31114,24%,23640,34.14,12%,Mar 2015,500325,,,
4,272583,230802,41781,15%,12212,3691,11565,38737,23%,29861,43.03,10%,Mar 2016,500325,,,
5,303954,257647,46307,15%,9222,3849,11646,40034,25%,29833,43.11,11%,Mar 2017,500325,,,
6,390823,326508,64315,16%,9869,8052,16706,49426,27%,36080,53.39,10%,Mar 2018,500325,,,
7,568337,484087,84250,15%,8406,16495,20934,55227,28%,39837,58.55,10%,Mar 2019,500325,,,
8,596679,507413,89266,15%,8570,22027,22203,53606,26%,39880,58.20,10%,Mar 2020,500325,,,
9,466307,385517,80790,17%,22432,21189,26572,55461,3%,53739,77.50,9%,Mar 2021,500325,,,
10,698672,588077,110595,16%,17928,14584,29797,84142,19%,67845,89.74,9%,Mar 2022,500325,,,
11,879468,736603,142865,16%,11826,19571,40319,94801,22%,74088,98.59,0%,Mar 2023,500325,,,
12,48894,34459,14435,30%,428,22,918,13923,24%,10523,26.60,47%,Mar 2012,532540,,,
13,62989,44950,18040,29%,1178,48,1080,18090,22%,14076,35.55,31%,Mar 2013,532540,,,
14,81809,56657,25153,31%,1637,39,1349,25402,24%,19332,48.92,33%,Mar 2014,532540,,,
15,94648,70167,24482,26%,3720,104,1799,26298,24%,20060,50.68,78%,Mar 2015,532540,,,
16,108646,77969,30677,28%,3084,33,1888,31840,24%,24338,61.58,35%,Mar 2016,532540,,,
17,117966,85655,32311,27%,4221,32,1987,34513,24%,26357,66.71,35%,Mar 2017,532540,,,
18,123104,90588,32516,26%,3642,52,2014,34092,24%,25880,67.46,37%,Mar 2018,532540,,,
19,146463,106957,39506,27%,4311,198,2056,41563,24%,31562,83.87,36%,Mar 2019,532540,,,
20,156949,114840,42109,27%,4592,924,3529,42248,23%,32447,86.19,85%,Mar 2020,532540,,,
21,164177,117631,46546,28%,1916,637,4065,43760,26%,32562,87.67,43%,Mar 2021,532540,,,
22,191754,138697,53057,28%,4018,784,4604,51687,26%,38449,104.75,41%,Mar 2022,532540,,,
23,225458,166199,59259,26%,3449,779,5022,56907,26%,42303,115.19,100%,Mar 2023,532540,,,
24,,10858,,,5992,15106,554,7667,31%,5277,11.18,19%,Mar 2012,500180,28193,2229,8%
25,,12631,,,7133,19695,663,10004,31%,6903,14.44,19%,Mar 2013,500180,35861,3534,10%
26,,13508,,,8298,23445,689,13211,34%,8768,18.22,19%,Mar 2014,500180,42555,5602,13%
27,,16164,,,9546,27288,680,16079,33%,10703,21.32,19%,Mar 2015,500180,50666,7214,14%
28,,20055,,,11212,34070,738,19511,34%,12821,25.32,19%,Mar 2016,500180,63162,9037,14%
29,,23856,,,12905,38042,886,23393,35%,15317,29.81,18%,Mar 2017,500180,73271,11374,16%
30,,29532,,,16057,42381,967,28464,35%,18561,35.66,18%,Mar 2018,500180,85288,13374,16%
31,,34856,,,18947,53713,1221,34318,35%,22446,41.00,18%,Mar 2019,500180,105161,16592,16%
32,,45459,,,24879,62137,1277,38195,29%,27296,49.70,5%,Mar 2020,500180,122189,14593,12%
33,,52457,,,27333,59248,1385,42796,26%,31857,57.74,11%,Mar 2021,500180,128552,16848,13%
34,,56557,,,31759,58584,1681,50873,25%,38151,68.62,23%,Mar 2022,500180,135936,20795,15%
35,,65388,,,33912,77780,0,61498,25%,46149,82.44,23%,Mar 2023,500180,170754,27586,16%
36,,30293,,,28663,25013,671,10680,26%,7938,12.06,25%,Mar 2012,532174,37995,-17311,-46%
37,,31684,,,29320,28285,625,13610,26%,10130,15.14,24%,Mar 2013,532174,44885,-15085,-34%
38,,32852,,,30085,29711,719,16282,28%,11677,17.38,24%,Mar 2014,532174,49479,-13084,-26%
39,,38766,,,35252,32318,798,18334,29%,12942,19.20,24%,Mar 2015,532174,54964,-16120,-29%
40,,52252,,,42102,33996,843,14304,24%,10927,15.92,29%,Mar 2016,532174,59294,-26955,-45%
41,,63841,,,52458,34836,912,13809,18%,11340,15.90,14%,Mar 2017,532174,60940,-37737,-62%
42,,72806,,,56807,34262,922,10978,17%,9100,12.00,12%,Mar 2018,532174,62162,-44906,-72%
43,,83775,,,59325,39178,946,7408,23%,5689,6.60,15%,Mar 2019,532174,71982,-50971,-71%
44,,85361,,,64950,44666,1171,18589,40%,11225,14.78,0%,Mar 2020,532174,84836,-45190,-53%
45,,91309,,,72030,42659,1340,25884,22%,20364,26.58,8%,Mar 2021,532174,89163,-44805,-50%
46,,80798,,,62129,41167,1330,34241,25%,26538,36.14,14%,Mar 2022,532174,95407,-26558,-28%
47,,89379,,,66110,50543,0,47255,25%,35461,48.74,16%,Mar 2023,532174,121067,-18856,-16%
48,23436,19936,3500,15%,357,2,234,3622,23%,2800,12.91,58%,Mar 2012,500696,,,
49,27004,22784,4220,16%,1123,26,251,5066,24%,3839,17.71,104%,Mar 2013,500696,,,
50,29234,24475,4759,16%,792,41,296,5215,24%,3956,18.24,71%,Mar 2014,500696,,,
51,31972,26560,5412,17%,1247,18,322,6320,31%,4376,20.17,74%,Mar 2015,500696,,,
52,32186,26276,5910,18%,486,17,353,6026,31%,4151,19.18,83%,Mar 2016,500696,,,
53,33162,26834,6328,19%,606,35,432,6467,31%,4490,20.68,82%,Mar 2017,500696,,,
54,35545,28046,7499,21%,353,26,520,7306,28%,5227,24.09,83%,Mar 2018,500696,,,
55,39310,30430,8880,23%,322,33,565,8604,30%,6060,27.97,78%,Mar 2019,500696,,,
56,39783,29930,9853,25%,432,118,1002,9165,26%,6756,31.17,80%,Mar 2020,500696,,,
57,47028,35402,11626,25%,170,117,1074,10605,25%,7999,34.03,119%,Mar 2021,500696,,,
58,52446,39589,12857,25%,219,106,1091,11879,25%,8892,37.79,90%,Mar 2022,500696,,,
59,60580,46432,14148,23%,447,114,1137,13344,24%,10143,43.07,91%,Mar 2023,500696,,,
60,33734,23007,10727,32%,1904,4,928,11699,29%,8332,18.14,32%,Mar 2012,500209,,,
61,40352,28814,11538,29%,2365,5,1099,12799,26%,9429,20.52,25%,Mar 2013,500209,,,
62,50133,36743,13390,27%,2664,9,1317,14728,28%,10656,23.31,34%,Mar 2014,500209,,,
63,53319,38436,14883,28%,3430,12,1017,17284,28%,12372,26.93,55%,Mar 2015,500209,,,
64,62441,45362,17079,27%,3120,0,1459,18740,28%,13489,29.36,41%,Mar 2016,500209,,,
65,68484,49880,18604,27%,3050,0,1703,19951,28%,14353,31.24,41%,Mar 2017,500209,,,
66,70522,51700,18822,27%,3311,0,1863,20270,21%,16029,36.69,59%,Mar 2018,500209,,,
67,82675,62505,20170,24%,2882,0,2011,21041,27%,15410,35.26,60%,Mar 2019,500209,,,
68,90791,68524,22267,25%,2803,170,2893,22007,24%,16639,38.96,45%,Mar 2020,500209,,,
69,100472,72583,27889,28%,2201,195,3267,26628,27%,19423,45.42,59%,Mar 2021,500209,,,
70,121641,90150,31491,26%,2295,200,3476,30110,26%,22146,52.56,59%,Mar 2022,500209,,,
