,Share Capital +,Reserves,Borrowings +,Other Liabilities +,Total Liabilities,Fixed Assets +,CWIP,Investments,Other Assets +,Total Assets,quarter,ScripCode
0,6766,814387,335134,557219,1713506,899786,117259,336633,359828,1713506,Mar 2023,500325
1,366,90058,7688,44747,142859,20515,1234,37163,83947,142859,Mar 2023,532540
2,,,,,,,,,,,Mar 2023,500180
3,,,,,,,,,,,Mar 2023,532174
4,235,50071,1219,21562,73087,52747,1132,2813,16395,73087,Mar 2023,500696
5,2069,73338,8299,40890,124596,29225,288,19478,75605,124596,Mar 2023,500209
6,1243,67912,306,16422,85883,25870,2985,29415,27613,85883,Mar 2023,500875
7,,,,,,,,,,,Mar 2023,500112
8,367,201108,582265,307789,1091529,12708,12,155485,923325,1091529,Mar 2023,500010
9,2837,74726,226020,143050,446633,315790,11029,32954,86860,446633,Mar 2023,532454
10,121,54251,216690,4166,275229,2373,15,22752,250089,275229,Mar 2023,500034
11,,,,,,,,,,,Mar 2023,500247
12,6325,39344,0,4504843,4550512,3820,0,4244851,301842,4550512,Mar 2023,543526
13,281,89045,120650,120376,330352,42757,2949,44798,239847,330352,Mar 2023,500510
14,543,64862,4786,23220,93411,34619,40,5495,53257,93411,Mar 2023,532281
15,96,15896,1933,7873,25798,5770,1020,4262,14746,25798,Mar 2023,500820
16,,,,,,,,,,,Mar 2023,532215
17,114,32937,53200,55236,141488,63207,17699,6310,54271,141488,Mar 2023,512599
18,151,61640,1247,21558,84597,17919,2815,49184,14678,84597,Mar 2023,532500
19,89,11762,9367,5805,27023,3009,133,2515,21366,27023,Mar 2023,500114
20,240,55755,6886,17862,80744,28430,963,14830,36520,80744,Mar 2023,524715
21,159,46248,212265,146837,405509,4465,62,136176,264806,405509,Mar 2023,532978
22,648,15430,643,1385,18106,11340,829,202,5734,18106,Mar 2023,540376
23,289,54036,11058,26005,91387,59584,4035,7277,20491,91387,Mar 2023,532538
24,1098,76570,17467,21999,117134,44757,617,33073,38687,117134,Mar 2023,507685
25,6290,272621,150352,199294,628557,295544,75893,71044,186076,628557,Sep 2022,500312
26,96,2363,271,6249,8979,3044,358,778,4799,8979,Dec 2022,500790
27,766,44556,134113,156646,336081,141134,5220,26379,163348,336081,Mar 2023,500570
28,9697,137326,221626,77372,446021,240470,89133,13935,102483,446021,Mar 2023,532555
29,301,65394,80853,64530,211078,104697,21921,4806,79654,211078,Mar 2023,500228
30,6975,76039,126661,40620,250296,185468,13741,3489,47597,250296,Mar 2023,532898
31,557,55809,92247,57279,205892,29886,1223,35272,139511,205892,Mar 2023,500520
32,1584,5720,54223,5834,67361,48336,5291,1149,12585,67361,Mar 2023,541450
33,422,42971,45299,11156,99849,65473,5790,3397,25189,99849,Sep 2022,532921
34,6163,51082,4331,149630,211207,54320,15263,7139,134484,211207,Mar 2023,533278
35,30,16562,1541,5363,23496,3769,813,5458,13456,23496,Mar 2023,540005
36,845,12097,11881,10631,35454,17620,2107,10107,5620,35454,Mar 2023,500188
37,1221,101861,84893,100047,288022,147527,30308,8410,101777,288022,Mar 2023,500470
38,51,7161,391,2922,10525,4914,406,881,4324,10525,Mar 2023,500331
39,283,29079,124,5651,35136,2842,85,26183,6026,35136,Mar 2023,532977
40,13772,125949,148977,153065,441762,183631,47550,52190,158391,441762,Mar 2023,530965
41,71,12002,184,7624,19881,1044,47,2220,16570,19881,Mar 2023,500550
42,2149,10841,950,233932,247872,382,0,238843,8647,247872,Mar 2023,540777
43,1001,12017,0,301669,314686,522,0,304334,9830,314686,Mar 2023,540719
44,495,37192,3334,12906,53928,4785,61,19481,29600,53928,Mar 2023,532868
45,132,78610,103039,155424,337205,94944,7730,74850,159681,337205,Mar 2023,500300
46,24,3510,2997,2821,9353,2655,105,3324,3268,9353,Mar 2023,500825
47,372,39051,66628,90305,196356,97839,17434,13150,67933,196356,Mar 2023,500295
48,440,27484,2740,15489,46153,14968,84,3388,27714,46153,Mar 2023,532755
49,650,4453,3884,2632,11618,6932,607,0,4079,11618,Dec 2022,540180
50,102,13692,1130,2575,17499,9937,42,3029,4491,17499,Mar 2023,532424
51,1115,9520,33600,7328,51564,31300,5404,527,14333,51564,Sep 2022,539254
52,334,23172,2,43609,67117,8075,636,1385,57021,67117,Mar 2023,541154
53,27,14963,288,3919,19198,3084,78,12321,3715,19198,Mar 2023,505200
54,3857,26019,42350,13596,85821,51451,12880,654,20836,85821,Mar 2023,533096
55,,,,,,,,,,,Mar 2023,532187
56,,,,,,,,,,,Mar 2023,532134
57,177,8796,1174,3507,13654,3579,175,6265,3635,13654,Mar 2023,500096
58,222,94584,65926,64085,224817,110986,7340,14116,92375,224817,Mar 2023,500440
59,53,12714,3,1668,14439,4723,212,77,9427,14439,Mar 2023,532488
60,386,-6689,44854,20492,59043,27671,0,11514,19858,59043,Mar 2023,539448
61,110,2831,1422,1282,5645,2337,1616,682,1010,5645,Mar 2023,542066
62,36,18252,2811,4719,25819,5333,2320,11651,6515,25819,Mar 2023,500387
63,164,14182,97358,1923,113627,427,36,3562,109602,113627,Mar 2023,511243
64,946,8884,31110,4606,45546,568,6,2140,42832,45546,Mar 2023,543066
65,397,25130,475,19026,45028,22618,2774,206,19430,45028,Jun 2022,500425
66,42,4897,33,4346,9318,899,69,493,7857,9318,Dec 2022,500002
67,63,6563,223,4309,11157,3624,163,201,7170,11157,Mar 2023,517354
68,731,13131,0,21630,35491,3457,361,201,31473,35491,Mar 2023,500049
69,2129,51393,69376,65210,188109,97279,5645,26778,58406,188109,Mar 2023,500547
70,111,44071,93,8913,53188,278,0,52555,355,53188,Mar 2023,500490
71,161,23246,803,5252,29463,9565,689,3662,15547,29463,Mar 2023,500087
72,83,23203,1347,7652,32285,9274,975,4986,17050,32285,Mar 2023,500124
73,297,10030,4478,3950,18755,10050,2406,494,5805,18755,Mar 2023,503806
74,93,16184,1600,4886,22762,13070,295,1433,7965,22762,Mar 2023,500800
75,6575,58352,17816,25037,107781,49697,16646,17248,24189,107781,Mar 2023,532155
76,129,3670,608,2539,6946,2246,67,1096,3537,6946,Mar 2023,531642
77,320,28468,52923,46639,128349,61747,5376,16670,44556,128349,Mar 2023,500400
78,72,5921,3998,3984,13975,8256,548,631,4540,13975,Sep 2022,508869
79,1439,8651,1200,244562,255851,596,0,248216,7039,255851,Mar 2023,540133
80,97,4397,1189,2284,7967,3332,110,183,4342,7967,Mar 2023,509480
81,146,5854,183,3579,9762,1550,67,286,7859,9762,Mar 2023,532432
82,48,5457,13312,16416,35233,6176,316,967,27774,35233,Mar 2023,532343
83,130,7858,2259,9372,19619,4377,323,288,14631,19619,Mar 2023,543458
84,,,,,,,,,,,Mar 2023,500116
85,169,5922,4083,3045,13219,6499,609,505,5606,13219,Sep 2022,500420
86,305,1485,16,2822,4629,982,27,1,3619,4629,Mar 2023,500093
87,30,10983,53,5194,16259,1731,366,5023,9140,16259,Mar 2023,500530
88,836,18623,507,1632,21599,6343,8,6765,8484,21599,Mar 2023,543320
89,678,30763,5767,1532,38739,2023,66,31032,5618,38739,Mar 2023,517334
90,,,,,,,,,,,Mar 2023,532461
91,40,16616,568,6694,23917,6491,122,10891,6413,23917,Mar 2023,500182
92,,,,,,,,,,,Mar 2023,532483
93,971,6439,689,2003,10102,7085,207,1,2810,10102,Mar 2023,543220
94,142,7840,3139,2548,13669,8826,324,1891,2627,13669,Mar 2023,500850
