,Sales +,Expenses +,Operating Profit,OPM %,Other Income +,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs,Dividend Payout %,quarter,ScripCode,Revenue,Financing Profit,Financing Margin %
0,879468,736603,142865,16%,11826,19571,40319,94801,22%,74088,98.59,0%,Mar 2023,500325,,,
1,225458,166199,59259,26%,3449,779,5022,56907,26%,42303,115.19,100%,Mar 2023,532540,,,
2,,65388,,,33912,77780,0,61498,25%,46149,82.44,23%,Mar 2023,500180,170754,27586,16%
3,,89379,,,66110,50543,0,47255,25%,35461,48.74,16%,Mar 2023,532174,121067,-18856,-16%
4,60580,46432,14148,23%,447,114,1137,13344,24%,10143,43.07,91%,Mar 2023,500696,,,
5,146767,111637,35130,24%,2701,284,4225,33322,28%,24108,58.08,58%,Mar 2023,500209,,,
6,70937,45272,25665,36%,2053,43,1809,25866,25%,19477,15.44,83%,Mar 2023,500875,,,
7,,207999,,,122534,189981,0,75399,25%,57750,62.35,0%,Mar 2023,500112,350845,-47135,-13%
8,,94591,,,11223,36845,597,32131,14%,27700,142.60,31%,Mar 2023,500010,152940,21504,14%
9,139145,67871,71274,51%,1019,19300,36432,16561,26%,12287,14.97,27%,Mar 2023,532454,,,
10,,12834,,,10,12560,485,15528,26%,11508,190.07,16%,Mar 2023,500034,41397,16003,39%
11,,33324,,,25830,14411,599,19646,25%,14925,75.13,2%,Mar 2023,500247,42151,-5585,-13%
12,1087933,1054015,33918,3%,7782,0,0,41700,13%,36397,57.55,5%,Mar 2023,543526,,,
13,183341,156561,26780,15%,3065,9234,3502,17109,26%,12531,74.50,32%,Mar 2023,500510,,,
14,101456,78828,22628,22%,1358,353,4145,19488,24%,14845,54.73,88%,Mar 2023,532281,,,
15,34489,28229,6260,18%,431,144,858,5689,26%,4195,42.81,60%,Mar 2023,500820,,,
16,,31655,,,6217,43389,0,18621,42%,10919,35.16,3%,Mar 2023,532215,87448,12405,14%
17,136978,128150,8828,6%,828,3970,2436,3250,32%,2422,21.69,6%,Mar 2023,512599,,,
18,117571,106554,11018,9%,2318,187,2826,10323,20%,8211,271.82,33%,Mar 2023,532500,,,
19,40575,35696,4879,12%,309,300,441,4447,26%,3274,36.61,27%,Mar 2023,500114,,,
20,43886,32239,11647,27%,463,172,2529,9408,9%,8513,35.32,33%,Mar 2023,524715,,,
21,82071,52383,29688,36%,2,12201,678,16811,27%,12210,40.29,2%,Mar 2023,532978,,,
22,42840,39203,3637,8%,129,67,639,3060,22%,2378,36.69,0%,Mar 2023,540376,,,
23,63240,52821,10419,16%,508,623,2888,7416,32%,5073,175.41,22%,Mar 2023,532538,,,
24,90488,73640,16848,19%,2266,1008,3340,14766,23%,11366,20.68,5%,Mar 2023,507685,,,
25,676683,598582,78101,12%,7360,7312,25218,52931,,39138,33.61,,TTM,500312,,,
26,17726,13834,3892,22%,113,156,400,3449,,2542,263.60,,TTM,500790,,,
27,345967,314047,31920,9%,6224,10225,24860,3058,23%,2690,7.27,32%,Mar 2023,500570,,,
28,176207,128891,47316,27%,2550,11156,14792,23917,28%,17121,17.44,42%,Mar 2023,532555,,,
29,165960,147550,18410,11%,1621,6902,7474,5655,27%,4139,17.14,0%,Mar 2023,500228,,,
30,45581,6185,39396,86%,1273,9634,13333,17702,13%,15417,22.10,67%,Mar 2023,532898,,,
31,121269,100983,20285,17%,3961,5830,4357,14060,19%,11374,82.68,18%,Mar 2023,500520,,,
32,7792,2861,4931,63%,647,2911,1300,1367,33%,973,6.14,0%,Mar 2023,541450,,,
33,18900,9365,9535,50%,1847,2389,3253,5740,,5285,24.36,,TTM,532921,,,
34,138252,101442,36810,27%,6551,684,4675,38001,26%,28125,45.70,73%,Mar 2023,533278,,,
35,33183,27075,6108,18%,557,150,723,5792,24%,4410,149.02,40%,Mar 2023,540005,,,
36,34098,16586,17512,51%,1382,333,3264,15297,31%,10520,24.90,303%,Mar 2023,500188,,,
37,243353,211053,32300,13%,1569,6299,9335,18235,56%,8075,7.17,50%,Mar 2023,500470,,,
38,11799,9815,1984,17%,56,48,270,1723,25%,1289,25.05,44%,Mar 2023,500331,,,
39,36455,30005,6451,18%,1717,40,286,7842,23%,6060,214.17,65%,Mar 2023,532977,,,
40,841756,811057,30699,4%,5061,7541,13181,15038,22%,11704,6.93,43%,Mar 2023,530965,,,
41,16357,14404,1953,12%,747,30,210,2460,,1910,53.64,,TTM,500550,,,
42,70207,70203,4,0%,1437,0,0,1441,5%,1368,6.37,30%,Mar 2023,540777,,,
43,80636,80488,148,0%,1758,0,0,1906,10%,1721,17.19,15%,Mar 2023,540719,,,
44,5695,3969,1726,30%,317,392,149,1502,27%,2034,8.22,49%,Mar 2023,532868,,,
45,117627,96038,21589,18%,3733,6044,4552,14727,25%,11078,103.69,10%,Mar 2023,500300,,,
46,16301,13470,2831,17%,597,169,226,3033,24%,2316,96.39,75%,Mar 2023,500825,,,
47,147308,112886,34422,23%,2634,6225,10555,20276,28%,14503,28.45,357%,Mar 2023,500295,,,
48,53290,45527,7763,15%,965,326,1957,6446,25%,4857,49.60,58%,Mar 2023,532755,,,
49,14239,11184,3055,21%,40,202,658,2236,,1718,25.75,,TTM,540180,,,
50,13316,10886,2430,18%,114,176,236,2133,20%,1702,16.65,0%,Mar 2023,532424,,,
51,12910,8650,4260,33%,1517,2801,1562,1414,,1078,9.87,,TTM,539254,,,
52,26928,20265,6663,25%,1672,58,1784,6493,10%,5811,173.79,23%,Mar 2023,541154,,,
53,14442,10999,3444,24%,910,28,526,3800,23%,2914,106.55,35%,Mar 2023,505200,,,
54,38773,28729,10045,26%,4267,3334,3304,7675,-40%,10727,27.81,0%,Mar 2023,533096,,,
55,,15899,,,8166,18776,0,9860,25%,7390,95.24,15%,Mar 2023,532187,36368,1693,5%
56,,40271,,,16639,49942,0,20565,29%,15005,28.82,19%,Mar 2023,532134,94139,3925,4%
57,11530,9367,2162,19%,445,78,311,2219,23%,1701,9.64,28%,Mar 2023,500096,,,
58,223202,200536,22666,10%,1307,3646,7086,13241,24%,10097,44.93,0%,Mar 2023,500440,,,
59,7768,5400,2368,30%,345,1,343,2369,23%,1823,68.69,44%,Mar 2023,532488,,,
60,54446,47962,6485,12%,1431,3132,5101,-317,0%,-317,-8.21,0%,Mar 2023,539448,,,
61,4378,3508,870,20%,37,78,113,715,26%,546,4.97,5%,Mar 2023,542066,,,
62,16837,13895,2942,17%,432,269,1546,1559,15%,1328,368.10,27%,Mar 2023,500387,,,
63,,3634,,,221,5748,121,3603,26%,2665,32.42,2%,Mar 2023,511243,12884,3502,27%
64,,9444,,,619,1648,164,3031,25%,2258,23.87,10%,Mar 2023,543066,13667,2575,19%
65,38937,33815,5122,13%,447,195,1645,3729,19%,3024,13.01,0%,Mar 2023,500425,,,
66,9010,7951,1059,12%,248,14,107,1187,,888,41.91,,TTM,500002,,,
67,16911,15312,1599,9%,178,34,296,1447,26%,1072,17.11,44%,Mar 2023,517354,,,
68,17734,13649,4086,23%,281,15,429,3923,25%,2986,4.08,29%,Mar 2023,500049,,,
69,473187,462299,10888,2%,2047,3745,6369,2821,24%,2131,9.82,0%,Mar 2023,500547,,,
70,464,142,322,69%,4730,7,34,5012,1%,4946,435.83,28%,Mar 2023,500490,,,
71,22753,17726,5027,22%,293,110,1172,4038,30%,2833,34.71,24%,Mar 2023,500087,,,
72,24670,18321,6349,26%,1092,143,1250,6048,25%,4507,270.66,15%,Mar 2023,500124,,,
73,14870,11341,3529,24%,75,205,575,2824,23%,2162,72.95,10%,Mar 2023,503806,,,
74,13783,11927,1856,13%,328,87,304,1794,25%,1320,12.96,65%,Mar 2023,500800,,,
75,145875,138387,7488,5%,2837,367,2702,7256,23%,5596,8.54,0%,Mar 2023,532155,,,
76,9764,7954,1810,19%,144,56,155,1743,24%,1322,10.07,0%,Mar 2023,531642,,,
77,55109,47403,7706,14%,5562,4372,3439,5457,30%,3810,10.44,19%,Mar 2023,500400,,,
78,15857,13879,1978,12%,108,380,623,1083,,796,53.18,,TTM,508869,,,
79,49404,50287,-883,-2%,1968,0,0,1085,25%,813,5.65,11%,Mar 2023,540133,,,
80,10568,9094,1474,14%,52,99,264,1162,26%,860,8.85,36%,Mar 2023,509480,,,
81,10612,9196,1416,13%,250,104,282,1279,12%,1126,15.62,0%,Mar 2023,532432,,,
82,31974,27947,4027,13%,136,1368,859,1936,32%,1309,27.97,18%,Mar 2023,532343,,,
83,55262,53646,1616,3%,257,729,319,825,26%,607,4.67,0%,Mar 2023,543458,,,
84,,10731,,,4575,9130,0,5305,31%,3728,3.45,0%,Mar 2023,500116,20592,730,4%
85,9260,6584,2676,29%,-393,283,673,1327,,831,24.55,,TTM,500420,,,
86,6973,5979,993,14%,286,16,94,1169,18%,963,6.30,24%,Mar 2023,500093,,,
87,14929,13123,1807,12%,473,12,386,1882,24%,1424,482.99,99%,Mar 2023,500530,,,
88,7079,8290,-1210,-17%,681,49,437,-1015,4%,-971,-1.14,0%,Mar 2023,543320,,,
89,7355,6535,820,11%,466,145,231,909,15%,774,1.14,0%,Mar 2023,517334,,,
90,,42406,,,12240,51817,0,4861,37%,3359,3.04,0%,Mar 2023,532461,86845,-7378,-8%
91,34158,30065,4094,12%,572,105,697,3864,28%,2800,140.61,71%,Mar 2023,500182,,,
92,,43793,,,25325,52990,0,14427,25%,11345,62.04,19%,Mar 2023,532483,85885,-10898,-13%
93,4563,3322,1241,27%,139,84,232,1064,-4%,1104,11.37,0%,Mar 2023,543220,,,
94,5810,4005,1805,31%,142,236,416,1295,25%,1053,7.06,14%,Mar 2023,500850,,,
95,8242,7128,1114,14%,341,409,494,552,29%,394,12.51,18%,Mar 2023,500251,,,
96,7257,5457,1800,25%,163,44,121,1798,26%,1335,33.33,0%,Mar 2022,543904,,,
97,17876,16758,1118,6%,995,0,0,2113,18%,1729,35.21,27%,Mar 2023,540716,,,
98,53576,43380,10196,19%,464,2963,2547,5150,14%,4414,47.56,21%,Mar 2023,512070,,,
99,52711,42776,9935,19%,-532,1446,2691,5266,25%,3974,31.11,6%,Mar 2023,532286,,,
