,sentence,prefix,suffix,dir,header,ScripCode,dir_status
0,Borrowings - YoY Growth in year ended Mar 2022 is 12.13% vs -12.77% in Mar 2021,Borrowings,YoY Growth in year ended Mar 2022 is 12.13% vs -12.77% in Mar 2021,-1.0,Balance Sheet Analysis Highlights,500325,bad
1,Other Long Term Liabilities - YoY Growth in year ended Mar 2022 is 16.19% vs 14.52% in Mar 2021,Other Long Term Liabilities,YoY Growth in year ended Mar 2022 is 16.19% vs 14.52% in Mar 2021,-1.0,Balance Sheet Analysis Highlights,500325,bad
2,Fixed Assets - YoY Growth in year ended Mar 2022 is 13.62% vs 5.32% in Mar 2021,Fixed Assets,YoY Growth in year ended Mar 2022 is 13.62% vs 5.32% in Mar 2021,1.0,Balance Sheet Analysis Highlights,500325,good
3,Investments - YoY Growth in year ended Mar 2022 is 34.73% vs 4.18% in Mar 2021,Investments,YoY Growth in year ended Mar 2022 is 34.73% vs 4.18% in Mar 2021,1.0,Balance Sheet Analysis Highlights,500325,good
4,Current Assets - YoY Growth in year ended Mar 2022 is -6.97% vs 44.43% in Mar 2021,Current Assets,YoY Growth in year ended Mar 2022 is -6.97% vs 44.43% in Mar 2021,-1.0,Balance Sheet Analysis Highlights,500325,bad
5,,Borrowings,No Borrowings in the last few periods;,,Balance Sheet Analysis Highlights,532540,
6,Other Long Term Liabilities - YoY Growth in year ended Mar 2023 is -7.24% vs -0.02% in Mar 2022,Other Long Term Liabilities,YoY Growth in year ended Mar 2023 is -7.24% vs -0.02% in Mar 2022,1.0,Balance Sheet Analysis Highlights,532540,good
7,Fixed Assets - YoY Growth in year ended Mar 2023 is -4.56% vs 3.86% in Mar 2022,Fixed Assets,YoY Growth in year ended Mar 2023 is -4.56% vs 3.86% in Mar 2022,-1.0,Balance Sheet Analysis Highlights,532540,bad
8,Investments - YoY Growth in year ended Mar 2023 is 19.28% vs 4.69% in Mar 2022,Investments,YoY Growth in year ended Mar 2023 is 19.28% vs 4.69% in Mar 2022,1.0,Balance Sheet Analysis Highlights,532540,good
9,Current Assets - YoY Growth in year ended Mar 2023 is 1.81% vs 9.10% in Mar 2022,Current Assets,YoY Growth in year ended Mar 2023 is 1.81% vs 9.10% in Mar 2022,-1.0,Balance Sheet Analysis Highlights,532540,bad
10,Deposits - YoY Growth in year ended Mar 2022 is 16.79% vs 16.34% in Mar 2021,Deposits,YoY Growth in year ended Mar 2022 is 16.79% vs 16.34% in Mar 2021,1.0,Balance Sheet Analysis Highlights,500180,good
11,Advances - YoY Growth in year ended Mar 2022 is 20.83% vs 14.00% in Mar 2021,Advances,YoY Growth in year ended Mar 2022 is 20.83% vs 14.00% in Mar 2021,1.0,Balance Sheet Analysis Highlights,500180,good
12,Investments - YoY Growth in year ended Mar 2022 is 2.66% vs 13.25% in Mar 2021,Investments,YoY Growth in year ended Mar 2022 is 2.66% vs 13.25% in Mar 2021,-1.0,Balance Sheet Analysis Highlights,500180,bad
13,TOTAL ASSETS - YoY Growth in year ended Mar 2022 is 18.41% vs 14.14% in Mar 2021,TOTAL ASSETS,YoY Growth in year ended Mar 2022 is 18.41% vs 14.14% in Mar 2021,1.0,Balance Sheet Analysis Highlights,500180,good
14,Deposits - YoY Growth in year ended Mar 2022 is 14.16% vs 20.95% in Mar 2021,Deposits,YoY Growth in year ended Mar 2022 is 14.16% vs 20.95% in Mar 2021,-1.0,Balance Sheet Analysis Highlights,532174,bad
15,Advances - YoY Growth in year ended Mar 2022 is 17.08% vs 13.71% in Mar 2021,Advances,YoY Growth in year ended Mar 2022 is 17.08% vs 13.71% in Mar 2021,1.0,Balance Sheet Analysis Highlights,532174,good
16,Investments - YoY Growth in year ended Mar 2022 is 10.29% vs 12.73% in Mar 2021,Investments,YoY Growth in year ended Mar 2022 is 10.29% vs 12.73% in Mar 2021,-1.0,Balance Sheet Analysis Highlights,532174,bad
17,TOTAL ASSETS - YoY Growth in year ended Mar 2022 is 14.70% vs 12.03% in Mar 2021,TOTAL ASSETS,YoY Growth in year ended Mar 2022 is 14.70% vs 12.03% in Mar 2021,1.0,Balance Sheet Analysis Highlights,532174,good
18,,Borrowings,No Borrowings in the last few periods;,,Balance Sheet Analysis Highlights,500696,
19,Other Long Term Liabilities - YoY Growth in year ended Mar 2022 is 1.46% vs 75.64% in Mar 2021,Other Long Term Liabilities,YoY Growth in year ended Mar 2022 is 1.46% vs 75.64% in Mar 2021,1.0,Balance Sheet Analysis Highlights,500696,good
20,Fixed Assets - YoY Growth in year ended Mar 2022 is 1.15% vs 769.17% in Mar 2021,Fixed Assets,YoY Growth in year ended Mar 2022 is 1.15% vs 769.17% in Mar 2021,-1.0,Balance Sheet Analysis Highlights,500696,bad
21,Investments - YoY Growth in year ended Mar 2022 is 0.00% vs 0.00% in Mar 2021,Investments,YoY Growth in year ended Mar 2022 is 0.00% vs 0.00% in Mar 2021,0.0,Balance Sheet Analysis Highlights,500696,neutral
22,Current Assets - YoY Growth in year ended Mar 2022 is 9.18% vs 15.39% in Mar 2021,Current Assets,YoY Growth in year ended Mar 2022 is 9.18% vs 15.39% in Mar 2021,-1.0,Balance Sheet Analysis Highlights,500696,bad
23,,Borrowings,No Borrowings in the last few periods;,,Balance Sheet Analysis Highlights,500209,
