,sentence,prefix,suffix,dir,header,ScripCode,dir_status
0,Net Sales - QoQ Growth in quarter ended Mar 2023 is -1.94% vs -5.60% in Dec 2022,Net Sales,QoQ Growth in quarter ended Mar 2023 is -1.94% vs -5.60% in Dec 2022,1.0,Quarterly Analysis Highlights - QoQ,500325,good
1,Consolidated Net Profit - QoQ Growth in quarter ended Mar 2023 is 22.21% vs 15.64% in Dec 2022,Consolidated Net Profit,QoQ Growth in quarter ended Mar 2023 is 22.21% vs 15.64% in Dec 2022,1.0,Quarterly Analysis Highlights - QoQ,500325,good
2,Operating Profit (PBDIT) excl Other Income - QoQ Growth in quarter ended Mar 2023 is 9.06% vs 12.88% in Dec 2022,Operating Profit (PBDIT) excl Other Income,QoQ Growth in quarter ended Mar 2023 is 9.06% vs 12.88% in Dec 2022,-1.0,Quarterly Analysis Highlights - QoQ,500325,bad
3,Interest - QoQ Growth in quarter ended Mar 2023 is 11.88% vs 14.21% in Dec 2022,Interest,QoQ Growth in quarter ended Mar 2023 is 11.88% vs 14.21% in Dec 2022,1.0,Quarterly Analysis Highlights - QoQ,500325,good
4,Operating Profit Margin (Excl OI) - QoQ Growth in quarter ended Mar 2023 has improved from Dec 2022,Operating Profit Margin (Excl OI),QoQ Growth in quarter ended Mar 2023 has improved from Dec 2022,1.0,Quarterly Analysis Highlights - QoQ,500325,good
5,Net Sales - YoY Growth in quarter ended Mar 2023 is 2.69% vs 38.64% in Mar 2022,Net Sales,YoY Growth in quarter ended Mar 2023 is 2.69% vs 38.64% in Mar 2022,-1.0,Quarterly Analysis Highlights - YoY,500325,bad
6,Consolidated Net Profit - YoY Growth in quarter ended Mar 2023 is 19.11% vs 22.50% in Mar 2022,Consolidated Net Profit,YoY Growth in quarter ended Mar 2023 is 19.11% vs 22.50% in Mar 2022,-1.0,Quarterly Analysis Highlights - YoY,500325,bad
7,Operating Profit (PBDIT) excl Other Income - YoY Growth in quarter ended Mar 2023 is 22.55% vs 34.32% in Mar 2022,Operating Profit (PBDIT) excl Other Income,YoY Growth in quarter ended Mar 2023 is 22.55% vs 34.32% in Mar 2022,-1.0,Quarterly Analysis Highlights - YoY,500325,bad
8,Interest - YoY Growth in quarter ended Mar 2023 is 63.64% vs -12.07% in Mar 2022,Interest,YoY Growth in quarter ended Mar 2023 is 63.64% vs -12.07% in Mar 2022,-1.0,Quarterly Analysis Highlights - YoY,500325,bad
9,Operating Profit Margin (Excl OI) - YoY Growth in quarter ended Mar 2023 has improved from Mar 2022,Operating Profit Margin (Excl OI),YoY Growth in quarter ended Mar 2023 has improved from Mar 2022,1.0,Quarterly Analysis Highlights - YoY,500325,good
10,Net Sales - QoQ Growth in quarter ended Mar 2023 is 1.60% vs 5.28% in Dec 2022,Net Sales,QoQ Growth in quarter ended Mar 2023 is 1.60% vs 5.28% in Dec 2022,-1.0,Quarterly Analysis Highlights - QoQ,532540,bad
11,Consolidated Net Profit - QoQ Growth in quarter ended Mar 2023 is 5.03% vs 3.98% in Dec 2022,Consolidated Net Profit,QoQ Growth in quarter ended Mar 2023 is 5.03% vs 3.98% in Dec 2022,1.0,Quarterly Analysis Highlights - QoQ,532540,good
12,Operating Profit (PBDIT) excl Other Income - QoQ Growth in quarter ended Mar 2023 is 1.42% vs 7.14% in Dec 2022,Operating Profit (PBDIT) excl Other Income,QoQ Growth in quarter ended Mar 2023 is 1.42% vs 7.14% in Dec 2022,-1.0,Quarterly Analysis Highlights - QoQ,532540,bad
13,Interest - QoQ Growth in quarter ended Mar 2023 is 70.00% vs 8.11% in Dec 2022,Interest,QoQ Growth in quarter ended Mar 2023 is 70.00% vs 8.11% in Dec 2022,-1.0,Quarterly Analysis Highlights - QoQ,532540,bad
14,Operating Profit Margin (Excl OI) - QoQ Growth in quarter ended Mar 2023 has fallen from Dec 2022,Operating Profit Margin (Excl OI),QoQ Growth in quarter ended Mar 2023 has fallen from Dec 2022,-1.0,Quarterly Analysis Highlights - QoQ,532540,bad
15,Net Sales - YoY Growth in quarter ended Mar 2023 is 16.94% vs 15.76% in Mar 2022,Net Sales,YoY Growth in quarter ended Mar 2023 is 16.94% vs 15.76% in Mar 2022,1.0,Quarterly Analysis Highlights - YoY,532540,good
16,Consolidated Net Profit - YoY Growth in quarter ended Mar 2023 is 14.77% vs 7.35% in Mar 2022,Consolidated Net Profit,YoY Growth in quarter ended Mar 2023 is 14.77% vs 7.35% in Mar 2022,1.0,Quarterly Analysis Highlights - YoY,532540,good
