,sentence,prefix,suffix,dir,header,ScripCode,dir_status
0,Net Sales - YoY Growth in year ended Mar 2023 is 25.65% vs 49.91% in Mar 2022,Net Sales,YoY Growth in year ended Mar 2023 is 25.65% vs 49.91% in Mar 2022,-1.0,Annual Analysis Highlights,500325,bad
1,Consolidated Net Profit - YoY Growth in year ended Mar 2023 is 9.88% vs 23.56% in Mar 2022,Consolidated Net Profit,YoY Growth in year ended Mar 2023 is 9.88% vs 23.56% in Mar 2022,-1.0,Annual Analysis Highlights,500325,bad
2,Operating Profit (PBDIT) excl Other Income - YoY Growth in year ended Mar 2023 is 29.38% vs 36.81% in Mar 2022,Operating Profit (PBDIT) excl Other Income,YoY Growth in year ended Mar 2023 is 29.38% vs 36.81% in Mar 2022,-1.0,Annual Analysis Highlights,500325,bad
3,Interest - YoY Growth in year ended Mar 2023 is 34.20% vs -31.17% in Mar 2022,Interest,YoY Growth in year ended Mar 2023 is 34.20% vs -31.17% in Mar 2022,-1.0,Annual Analysis Highlights,500325,bad
4,Operating Profit Margin (Excl OI) - YoY Growth in year ended Mar 2023 has improved from Mar 2022,Operating Profit Margin (Excl OI),YoY Growth in year ended Mar 2023 has improved from Mar 2022,1.0,Annual Analysis Highlights,500325,good
5,Net Sales - YoY Growth in year ended Mar 2023 is 17.58% vs 16.80% in Mar 2022,Net Sales,YoY Growth in year ended Mar 2023 is 17.58% vs 16.80% in Mar 2022,1.0,Annual Analysis Highlights,532540,good
6,Consolidated Net Profit - YoY Growth in year ended Mar 2023 is 9.97% vs 18.18% in Mar 2022,Consolidated Net Profit,YoY Growth in year ended Mar 2023 is 9.97% vs 18.18% in Mar 2022,-1.0,Annual Analysis Highlights,532540,bad
7,Operating Profit (PBDIT) excl Other Income - YoY Growth in year ended Mar 2023 is 11.69% vs 13.99% in Mar 2022,Operating Profit (PBDIT) excl Other Income,YoY Growth in year ended Mar 2023 is 11.69% vs 13.99% in Mar 2022,-1.0,Annual Analysis Highlights,532540,bad
8,Interest - YoY Growth in year ended Mar 2023 is -0.64% vs 23.08% in Mar 2022,Interest,YoY Growth in year ended Mar 2023 is -0.64% vs 23.08% in Mar 2022,1.0,Annual Analysis Highlights,532540,good
9,Operating Profit Margin (Excl OI) - YoY Growth in year ended Mar 2023 has fallen from Mar 2022,Operating Profit Margin (Excl OI),YoY Growth in year ended Mar 2023 has fallen from Mar 2022,-1.0,Annual Analysis Highlights,532540,bad
10,Interest Earned - YoY Growth in year ended Mar 2023 is 26.48% vs 5.70% in Mar 2022,Interest Earned,YoY Growth in year ended Mar 2023 is 26.48% vs 5.70% in Mar 2022,1.0,Annual Analysis Highlights,500180,good
11,Net Profit - YoY Growth in year ended Mar 2023 is 19.34% vs 18.78% in Mar 2022,Net Profit,YoY Growth in year ended Mar 2023 is 19.34% vs 18.78% in Mar 2022,1.0,Annual Analysis Highlights,500180,good
12,Operating Profit (PBDIT) - YoY Growth in year ended Mar 2023 is 9.88% vs 11.71% in Mar 2022,Operating Profit (PBDIT),YoY Growth in year ended Mar 2023 is 9.88% vs 11.71% in Mar 2022,-1.0,Annual Analysis Highlights,500180,bad
13,% of Net NPAs - YoY Growth in year ended Mar 2023 is -0.05% vs -0.08% in Mar 2022,% of Net NPAs,YoY Growth in year ended Mar 2023 is -0.05% vs -0.08% in Mar 2022,-1.0,Annual Analysis Highlights,500180,bad
14,% of Gross NPAs - YoY Growth in year ended Mar 2023 is -0.05% vs -0.15% in Mar 2022,% of Gross NPAs,YoY Growth in year ended Mar 2023 is -0.05% vs -0.15% in Mar 2022,-1.0,Annual Analysis Highlights,500180,bad
15,Interest Earned - YoY Growth in year ended Mar 2023 is 26.46% vs 9.17% in Mar 2022,Interest Earned,YoY Growth in year ended Mar 2023 is 26.46% vs 9.17% in Mar 2022,1.0,Annual Analysis Highlights,532174,good
16,Net Profit - YoY Growth in year ended Mar 2023 is 36.66% vs 44.14% in Mar 2022,Net Profit,YoY Growth in year ended Mar 2023 is 36.66% vs 44.14% in Mar 2022,-1.0,Annual Analysis Highlights,532174,bad
17,Operating Profit (PBDIT) - YoY Growth in year ended Mar 2023 is 25.06% vs 7.84% in Mar 2022,Operating Profit (PBDIT),YoY Growth in year ended Mar 2023 is 25.06% vs 7.84% in Mar 2022,1.0,Annual Analysis Highlights,532174,good
18,% of Net NPAs - YoY Growth in year ended Mar 2023 is -0.28% vs -0.38% in Mar 2022,% of Net NPAs,YoY Growth in year ended Mar 2023 is -0.28% vs -0.38% in Mar 2022,-1.0,Annual Analysis Highlights,532174,bad
19,% of Gross NPAs - YoY Growth in year ended Mar 2023 is -0.79% vs -1.36% in Mar 2022,% of Gross NPAs,YoY Growth in year ended Mar 2023 is -0.79% vs -1.36% in Mar 2022,-1.0,Annual Analysis Highlights,532174,bad
20,Net Sales - YoY Growth in year ended Mar 2023 is 15.51% vs 11.52% in Mar 2022,Net Sales,YoY Growth in year ended Mar 2023 is 15.51% vs 11.52% in Mar 2022,1.0,Annual Analysis Highlights,500696,good
21,Consolidated Net Profit - YoY Growth in year ended Mar 2023 is 13.98% vs 11.06% in Mar 2022,Consolidated Net Profit,YoY Growth in year ended Mar 2023 is 13.98% vs 11.06% in Mar 2022,1.0,Annual Analysis Highlights,500696,good
22,Operating Profit (PBDIT) excl Other Income - YoY Growth in year ended Mar 2023 is 10.04% vs 10.59% in Mar 2022,Operating Profit (PBDIT) excl Other Income,YoY Growth in year ended Mar 2023 is 10.04% vs 10.59% in Mar 2022,-1.0,Annual Analysis Highlights,500696,bad
23,Interest - YoY Growth in year ended Mar 2023 is 7.55% vs -9.40% in Mar 2022,Interest,YoY Growth in year ended Mar 2023 is 7.55% vs -9.40% in Mar 2022,-1.0,Annual Analysis Highlights,500696,bad
24,Operating Profit Margin (Excl OI) - YoY Growth in year ended Mar 2023 has fallen from Mar 2022,Operating Profit Margin (Excl OI),YoY Growth in year ended Mar 2023 has fallen from Mar 2022,-1.0,Annual Analysis Highlights,500696,bad
25,Net Sales - YoY Growth in year ended Mar 2023 is 20.66% vs 21.07% in Mar 2022,Net Sales,YoY Growth in year ended Mar 2023 is 20.66% vs 21.07% in Mar 2022,-1.0,Annual Analysis Highlights,500209,bad
26,Consolidated Net Profit - YoY Growth in year ended Mar 2023 is 8.98% vs 14.26% in Mar 2022,Consolidated Net Profit,YoY Growth in year ended Mar 2023 is 8.98% vs 14.26% in Mar 2022,-1.0,Annual Analysis Highlights,500209,bad
