,newsid,description,entts,imagepath,isdeleted,link,newstype,publisheddate,source,CompanyName,topnews,ScripCode,category,stockid
0,0b1fc6113126ffa3f6c6d2feec7816e7,Reliance Consumer Products partners General Mills to launch Alan\'s Bugles  Business Standard,1685109603.0,,0.0,https://news.google.com/rss/articles/CBMijgFodHRwczovL3d3dy5idXNpbmVzcy1zdGFuZGFyZC5jb20vY29tcGFuaWVzL25ld3MvcmVsaWFuY2UtY29uc3VtZXItcHJvZHVjdHMtcGFydG5lcnMtZ2VuZXJhbC1taWxscy10by1sYXVuY2gtYWxhbi1zLWJ1Z2xlcy0xMjMwNTI2MDA2MTRfMS5odG1s0gGSAWh0dHBzOi8vd3d3LmJ1c2luZXNzLXN0YW5kYXJkLmNvbS9hbXAvY29tcGFuaWVzL25ld3MvcmVsaWFuY2UtY29uc3VtZXItcHJvZHVjdHMtcGFydG5lcnMtZ2VuZXJhbC1taWxscy10by1sYXVuY2gtYWxhbi1zLWJ1Z2xlcy0xMjMwNTI2MDA2MTRfMS5odG1s?oc=5,STKNWS,26-May-2023 16:50,https://www.business-standard.com,Reliance Consumer Products partners General Mills to launch Alan\'s Bugles,0.0,500325,,
1,bb25adcb467dd4000320ba24cce0b6fb,"Reliance Industries shares climb 3% to settle above Rs 2,500 today; here\'s what analysts say  Business Today",1685109603.0,,0.0,https://news.google.com/rss/articles/CBMiowFodHRwczovL3d3dy5idXNpbmVzc3RvZGF5LmluL21hcmtldHMvY29tcGFueS1zdG9jay9zdG9yeS9yZWxpYW5jZS1pbmR1c3RyaWVzLXNoYXJlcy1jbGltYi0zLXRvLXNldHRsZS1hYm92ZS1ycy0yNTAwLXRvZGF5LWhlcmVzLXdoYXQtYW5hbHlzdHMtc2F5LTM4MzAyOS0yMDIzLTA1LTI20gGnAWh0dHBzOi8vd3d3LmJ1c2luZXNzdG9kYXkuaW4vYW1wL21hcmtldHMvY29tcGFueS1zdG9jay9zdG9yeS9yZWxpYW5jZS1pbmR1c3RyaWVzLXNoYXJlcy1jbGltYi0zLXRvLXNldHRsZS1hYm92ZS1ycy0yNTAwLXRvZGF5LWhlcmVzLXdoYXQtYW5hbHlzdHMtc2F5LTM4MzAyOS0yMDIzLTA1LTI2?oc=5,STKNWS,26-May-2023 17:40,https://www.businesstoday.in,"Reliance Industries shares climb 3% to settle above Rs 2,500 today; here\'s what analysts say",0.0,500325,,
2,787d46310646e26a823212a78c7fcdc6,Reliance Chairman Mukesh Ambani joins advisory committee of global climate change panel COP28  Business Today,1685109603.0,,0.0,https://news.google.com/rss/articles/CBMiowFodHRwczovL3d3dy5idXNpbmVzc3RvZGF5LmluL2xhdGVzdC9jb3Jwb3JhdGUvc3RvcnkvcmVsaWFuY2UtY2hhaXJtYW4tbXVrZXNoLWFtYmFuaS1qb2lucy1hZHZpc29yeS1jb21taXR0ZWUtb2YtZ2xvYmFsLWNsaW1hdGUtY2hhbmdlLXBhbmVsLWNvcDI4LTM4MzAwNS0yMDIzLTA1LTI20gGnAWh0dHBzOi8vd3d3LmJ1c2luZXNzdG9kYXkuaW4vYW1wL2xhdGVzdC9jb3Jwb3JhdGUvc3RvcnkvcmVsaWFuY2UtY2hhaXJtYW4tbXVrZXNoLWFtYmFuaS1qb2lucy1hZHZpc29yeS1jb21taXR0ZWUtb2YtZ2xvYmFsLWNsaW1hdGUtY2hhbmdlLXBhbmVsLWNvcDI4LTM4MzAwNS0yMDIzLTA1LTI2?oc=5,STKNWS,26-May-2023 16:13,https://www.businesstoday.in,Reliance Chairman Mukesh Ambani joins advisory committee of global climate change panel COP28,0.0,500325,,
3,5c7d0ca9284edae26ca51d317d5fff00,Reliance to launch popular corn chips Alans Bugles in India  Business Today,1685109603.0,,0.0,https://news.google.com/rss/articles/CBMigQFodHRwczovL3d3dy5idXNpbmVzc3RvZGF5LmluL2xhdGVzdC9jb3Jwb3JhdGUvc3RvcnkvcmVsaWFuY2UtdG8tbGF1bmNoLXBvcHVsYXItY29ybi1jaGlwcy1hbGFucy1idWdsZXMtaW4taW5kaWEtMzgzMDA2LTIwMjMtMDUtMjbSAYUBaHR0cHM6Ly93d3cuYnVzaW5lc3N0b2RheS5pbi9hbXAvbGF0ZXN0L2NvcnBvcmF0ZS9zdG9yeS9yZWxpYW5jZS10by1sYXVuY2gtcG9wdWxhci1jb3JuLWNoaXBzLWFsYW5zLWJ1Z2xlcy1pbi1pbmRpYS0zODMwMDYtMjAyMy0wNS0yNg?oc=5,STKNWS,26-May-2023 16:14,https://www.businesstoday.in,Reliance to launch popular corn chips Alans Bugles in India,0.0,500325,,
4,b249bf82e64821c7651671cd97df8ea1,Government Attempting To Link TCS With TDS: Chief Economic Advisor  NDTV Profit,1685109603.0,,0.0,https://news.google.com/rss/articles/CBMifGh0dHBzOi8vd3d3Lm5kdHYuY29tL2J1c2luZXNzL2dvdmVybm1lbnQtYXR0ZW1wdGluZy10by1saW5rLXRjcy13aXRoLXRkcy1jaGllZi1lY29ub21pYy1hZHZpc29yLXYtYW5hbnRoYS1uYWdlc3dhcmFuLTQwNjg1NjLSAYIBaHR0cHM6Ly93d3cubmR0di5jb20vYnVzaW5lc3MvZ292ZXJubWVudC1hdHRlbXB0aW5nLXRvLWxpbmstdGNzLXdpdGgtdGRzLWNoaWVmLWVjb25vbWljLWFkdmlzb3Itdi1hbmFudGhhLW5hZ2Vzd2FyYW4tNDA2ODU2Mi9hbXAvMQ?oc=5,STKNWS,26-May-2023 16:14,https://www.ndtv.com,Government Attempting To Link TCS With TDS: Chief Economic Advisor,0.0,532540,,
5,6539df1093344344a59312f0d8b93e9e,"Tcs closed today at 3329, up 1.04% from yesterday\'s 3294.75 | Mint  Mint",1685107803.0,,0.0,https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9tYXJrZXQvbGl2ZS1ibG9nL3Rjcy1zaGFyZS1wcmljZS1saXZlLWJsb2ctZm9yLTI2LW1heS0yMDIzLTExNjg1MDY4NzU1MDI5Lmh0bWzSAWtodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L2xpdmUtYmxvZy90Y3Mtc2hhcmUtcHJpY2UtbGl2ZS1ibG9nLWZvci0yNi1tYXktMjAyMy9hbXAtMTE2ODUwNjg3NTUwMjkuaHRtbA?oc=5,STKNWS,26-May-2023 16:18,https://www.livemint.com,"Tcs closed today at 3329, up 1.04% from yesterday\'s 3294.75 | Mint",0.0,532540,,
6,5c193bb5c5ea9415394f437c6e514c9f,"Tcs closed today at 3294.75, down -0.19% from yesterday\'s 3301.05 | Mint  Mint",,,,https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9tYXJrZXQvbGl2ZS1ibG9nL3Rjcy1zaGFyZS1wcmljZS1saXZlLWJsb2ctZm9yLTI1LW1heS0yMDIzLTExNjg0OTgzNDAyOTM2Lmh0bWzSAWtodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L2xpdmUtYmxvZy90Y3Mtc2hhcmUtcHJpY2UtbGl2ZS1ibG9nLWZvci0yNS1tYXktMjAyMy9hbXAtMTE2ODQ5ODM0MDI5MzYuaHRtbA?oc=5,STKNWS,25-May-2023 16:00,https://www.livemint.com,"Tcs closed today at 3294.75, down -0.19% from yesterday\'s 3301.05 | Mint",,532540,,513374.0
7,3eb23dd26c69f52aaf5e2297737e83d6,"TCS, Jaguar Land Rover launch innovation program in Israel  Business Today",,,,https://news.google.com/rss/articles/CBMif2h0dHBzOi8vd3d3LmJ1c2luZXNzdG9kYXkuaW4vbGF0ZXN0L2NvcnBvcmF0ZS9zdG9yeS90Y3MtamFndWFyLWxhbmQtcm92ZXItbGF1bmNoLWlubm92YXRpb24tcHJvZ3JhbS1pbi1pc3JhZWwtMzgyNTMxLTIwMjMtMDUtMjTSAQA?oc=5,STKNWS,24-May-2023 08:40,https://www.businesstoday.in,"TCS, Jaguar Land Rover launch innovation program in Israel",,532540,,513374.0
8,d717e5b2817a7ec2428efe0623adf12a,HDFC Bank\'s CMO Talks About Overall Growth The Bank Has Seen Through Online Transactions  Business Today,1685109603.0,,0.0,https://news.google.com/rss/articles/CBMiuAFodHRwczovL3d3dy5idXNpbmVzc3RvZGF5LmluL2J0LXR2L2ludGVydmlldy13aXRoLXNpZGRoYXJ0aC16YXJhYmkvc2hvcnQtdmlkZW8vaGRmYy1iYW5rcy1jbW8tdGFsa3MtYWJvdXQtb3ZlcmFsbC1ncm93dGgtdGhlLWJhbmstaGFzLXNlZW4tdGhyb3VnaC1vbmxpbmUtdHJhbnNhY3Rpb25zLTM4Mjk3Ni0yMDIzLTA1LTI20gEA?oc=5,STKNWS,26-May-2023 14:16,https://www.businesstoday.in,HDFC Bank\'s CMO Talks About Overall Growth The Bank Has Seen Through Online Transactions,0.0,500180,,
9,c4bca46df34832ea874259a0cadea970,"Hdfc Bank closed today at 1615.5, up 0.37% from yesterday\'s 1609.6 | Mint  Mint<br>Stay with stocks, Nifty at 19,000 soon; time to own both IndusInd and HDFC Bank: Sanjiv Bhasin  Economic Times<br>Buy HDFC Bank; target of Rs 1925: Prabhudas Lilladher  Moneycontrol<br>",1685107803.0,,0.0,https://news.google.com/rss/articles/CBMibWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9tYXJrZXQvbGl2ZS1ibG9nL2hkZmMtYmFuay1zaGFyZS1wcmljZS1saXZlLWJsb2ctZm9yLTI2LW1heS0yMDIzLTExNjg1MDY5NTY0NDA5Lmh0bWzSAXFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L2xpdmUtYmxvZy9oZGZjLWJhbmstc2hhcmUtcHJpY2UtbGl2ZS1ibG9nLWZvci0yNi1tYXktMjAyMy9hbXAtMTE2ODUwNjk1NjQ0MDkuaHRtbA?oc=5,STKNWS,26-May-2023 16:18,https://www.livemint.com,"Hdfc Bank closed today at 1615.5, up 0.37% from yesterday\'s 1609.6 | Mint",0.0,500180,,
