,peers_ScripCode,ResQtr,peers_Name,LTP,Change,w52hi,w52hidt,w52lo,w52lodt,Revenue,PAT,Equity,OPM,NPM,RONW,EPS,Cash_EPS,PE,PB,BV,Results_QuarterName,SHP_QuarterName,PnPGrp,INDIAN,Foreign,Public,Institution,FII,DII,NonIns,Bodies_Corporate,FACE_VALUE,ScripCode
0,500325,117.0,RELIANCE,2506.55,2.79,2816.35,2022-06-03T00:00:00,2180.0,2023-03-20T00:00:00,122133.0,13821.0,6766.0,17.08,11.32,204.27,65.33,80.31,38.37,0.0,0.0,Mar - 23,,,,,,,,,,,10.0,500325
1,530965,117.0,IOC,90.13,1.07,90.3,2023-05-26T09:31:51,65.2,2022-09-29T00:00:00,226492.05,10058.69,14121.24,7.5,4.44,71.23,5.84,14.23,15.43,0.0,0.0,Mar - 23,,,,,,,,,,,10.0,500325
2,500547,117.0,BPCL,364.25,0.28,374.85,2023-05-11T00:00:00,288.2,2022-10-20T00:00:00,133413.81,6477.74,2129.45,7.89,4.86,304.2,8.49,37.74,42.9,0.0,0.0,Mar - 23,,,,,,,,,,,10.0,500325
3,500104,117.0,HINDPETRO,258.25,0.16,267.4,2023-05-15T00:00:00,200.0,2022-10-20T00:00:00,114444.69,3222.62,1418.55,5.21,2.82,227.18,-63.26,-32.74,-4.08,0.0,0.0,Mar - 23,,,,,,,,,,,10.0,500325
4,532540,117.0,TCS,3329.0,1.04,3575.0,2023-02-16T00:00:00,2926.0,2022-09-26T00:00:00,49780.0,9800.0,366.0,28.73,19.69,2677.6,106.87,117.64,31.15,0.0,0.0,Mar - 23,,2645386073.0,2645386073.0,0.0,1013665300.0,348806373.0,0.0,348806373.0,664858927.0,0.0,1.0,532540
5,500209,117.0,INFY,1317.3,0.98,1672.45,2022-12-01T00:00:00,1215.45,2023-04-25T00:00:00,30531.0,5904.0,2074.0,28.54,19.34,284.67,56.09,62.72,23.49,0.0,0.0,Mar - 23,,,,,,,,,,,5.0,532540
6,507685,117.0,WIPRO,401.5,1.85,488.0,2022-06-03T00:00:00,351.85,2023-04-17T00:00:00,17477.3,2264.1,1097.6,21.17,12.95,206.28,16.72,19.62,24.01,0.0,0.0,Mar - 23,,,,,,,,,,,2.0,532540
7,532281,117.0,HCLTECH,1138.6,2.02,1156.8,2023-02-03T00:00:00,875.65,2022-08-29T00:00:00,11637.0,2844.0,0.0,36.02,24.44,0.0,42.23,51.19,26.96,0.0,0.0,Mar - 23,,,,,,,,,,,2.0,532540
8,500180,117.0,HDFCBANK,1615.5,0.37,1733.95,2023-05-04T00:00:00,1271.75,2022-06-17T00:00:00,45119.36,12047.45,557.97,41.27,26.7,2159.16,79.05,79.05,20.44,0.0,0.0,Mar - 23,,,,,,,,,,,1.0,500180
9,532174,117.0,ICICIBANK,950.55,1.14,958.0,2022-11-30T00:00:00,670.35,2022-06-17T00:00:00,31021.13,9121.87,1396.78,44.57,29.41,4.63,45.68,45.68,20.81,3.02,281.92,Mar - 23,,,,,,,,,,,2.0,500180
10,532215,117.0,AXISBANK,926.95,0.65,970.45,2023-01-04T00:00:00,618.1,2022-06-23T00:00:00,23969.76,-5728.42,615.37,-12.57,-23.9,-930.89,31.13,34.86,29.78,0.0,0.0,Mar - 23,,,,,,,,,,,2.0,500180
11,532187,117.0,INDUSINDBK,1268.2,0.36,1275.5,2023-05-24T00:00:00,763.75,2022-06-23T00:00:00,10020.71,2040.51,775.9,37.45,20.36,262.99,95.24,95.24,13.32,0.0,0.0,Mar - 23,Mar - 23,117516010.0,0.0,117516010.0,658379188.0,187891472.0,0.0,187891472.0,470487716.0,0.0,10.0,500180
12,532174,117.0,ICICIBANK,950.55,1.14,958.0,2022-11-30T00:00:00,670.35,2022-06-17T00:00:00,31021.13,9121.87,1396.78,44.57,29.41,4.63,45.68,45.68,20.81,3.02,281.92,Mar - 23,,,,,,,,,,,2.0,532174
13,500180,117.0,HDFCBANK,1615.5,0.37,1733.95,2023-05-04T00:00:00,1271.75,2022-06-17T00:00:00,45119.36,12047.45,557.97,41.27,26.7,2159.16,79.05,79.05,20.44,0.0,0.0,Mar - 23,,,,,,,,,,,1.0,532174
14,532215,117.0,AXISBANK,926.95,0.65,970.45,2023-01-04T00:00:00,618.1,2022-06-23T00:00:00,23969.76,-5728.42,615.37,-12.57,-23.9,-930.89,31.13,34.86,29.78,0.0,0.0,Mar - 23,,,,,,,,,,,2.0,532174
15,532187,117.0,INDUSINDBK,1268.2,0.36,1275.5,2023-05-24T00:00:00,763.75,2022-06-23T00:00:00,10020.71,2040.51,775.9,37.45,20.36,262.99,95.24,95.24,13.32,0.0,0.0,Mar - 23,Mar - 23,117516010.0,0.0,117516010.0,658379188.0,187891472.0,0.0,187891472.0,470487716.0,0.0,10.0,532174
16,500696,117.0,HINDUNILVR,2651.6,2.0,2741.0,2022-12-09T00:00:00,2100.0,2022-06-17T00:00:00,14893.0,2552.0,235.0,24.92,17.14,1085.96,42.4,46.78,62.54,0.0,0.0,Mar - 23,,,,,,,,,,,1.0,500696
17,500875,117.0,ITC,443.7,0.59,444.75,2023-05-26T14:34:41,258.05,2022-06-17T00:00:00,17506.08,5086.86,1242.8,40.15,29.06,409.31,15.09,16.43,29.4,0.0,0.0,Mar - 23,,,,,,,,,,,1.0,500696
18,519126,117.0,HNDFDS,565.2,-0.04,749.15,2022-12-05T00:00:00,328.73,2022-06-21T00:00:00,594.86,16.32,22.55,6.69,2.74,72.39,5.72,8.32,98.81,0.0,0.0,Mar - 23,,,,,,,,,,,2.0,500696
