,1.quantity,1.price,2.quantity,2.price,3.quantity,3.price,4.quantity,4.price,5.quantity,5.price,ScripCode
0,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500325
1,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,532540
2,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500180
3,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,532174
4,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500696
5,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500209
6,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500875
7,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500112
8,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500010
9,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,532454
10,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500034
11,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500247
12,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,543526
13,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500510
14,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,532281
15,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500820
16,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,532215
17,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,512599
18,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,532500
19,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500114
20,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,524715
21,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,532978
22,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,540376
23,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,532538
24,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,507685
25,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500312
26,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500790
27,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500570
28,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,532555
29,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500228
30,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,532898
31,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500520
32,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,541450
33,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,532921
34,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,533278
35,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,540005
36,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500188
37,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500470
38,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500331
39,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,532977
40,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,530965
41,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500550
42,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,540777
43,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,540719
44,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,532868
45,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500300
46,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500825
47,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500295
48,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,532755
49,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,540180
50,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,532424
51,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,539254
52,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,541154
53,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,505200
54,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,533096
55,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,532187
56,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,532134
57,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500096
58,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500440
59,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,532488
60,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,539448
61,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,542066
62,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500387
63,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,511243
64,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,543066
65,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500425
66,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500002
67,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,517354
68,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500049
69,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500547
70,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500490
71,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500087
72,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500124
73,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,503806
74,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500800
75,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,532155
76,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,531642
77,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500400
78,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,508869
79,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,540133
